sensor_temp,vibration_freq,pressure_psi,machine_failure
82.90360007,62.73199476,145.1694876,1
91.08491649,58.20728736,121.609288,0
88.67199799,52.74918416,115.598529,0
84.6852863,58.99480614,114.0086283,0
100.0952399,58.82064268,97.30080796,1
55.33246931,65.2439722,100.4317665,0
90.09887248,61.54695221,139.2737518,0
92.17738707,68.06155764,112.891757,0
96.46962868,65.9874427,120.3310155,0
84.35128559,57.71752195,89.33504286,0
87.07920067,51.02435402,100.2286195,0
94.85948383,66.92787617,129.1471878,0
99.91166404,66.79692612,125.6656764,0
81.99464015,53.16894205,146.300628,1
87.66975783,67.5462001,140.144345,1
101.7857396,61.91058585,116.5393354,1
63.75972924,60.80342749,127.0943035,0
78.099874,68.07391627,115.2509484,0
99.65835979,66.72342587,150.8221473,1
95.92537834,63.25665476,137.2352204,0
90.22445211,62.36608533,122.5452764,0
80.51403127,63.08197145,123.0059218,0
76.18181501,57.99971283,141.6727543,1
79.08784381,59.72449275,128.6936677,0
100.4800822,55.48841423,143.3794203,1
78.71557311,58.33480112,87.09528111,0
86.01422964,58.16683061,126.9184239,0
77.46292355,56.82347315,112.268477,0
93.4277403,60.68373251,146.3456698,1
79.6127372,58.38009575,143.1959803,1
84.0240611,62.5111736,120.4925371,0
68.16617867,51.88839693,143.0344647,1
68.86631764,59.43322603,146.7467178,1
85.07673193,60.6577582,121.1161001,0
71.74842845,58.4468538,157.0790066,1
106.0508664,59.1380365,119.5298827,1
64.38476888,52.07376995,116.7821857,0
76.99824701,61.78238552,132.9880888,0
85.16700867,63.23802991,114.693139,0
81.34867062,62.46768647,121.2800966,0
73.95854543,65.1936353,141.1415164,1
75.42072161,61.00764803,120.2882828,0
75.09345923,62.3934059,94.57473311,0
82.13278305,60.78045369,125.5097908,0
104.5192909,63.4377536,109.5555963,1
85.77937297,52.11385182,132.9790674,0
96.82900489,55.53209516,130.4428457,0
90.06976346,67.93449829,142.0710052,1
96.13862398,47.69782089,133.6129845,0
57.00035697,59.29911035,136.3536643,0
81.95541979,65.8613748,109.9635486,0
98.07135423,59.53369667,132.0597974,0
79.28264177,57.97494464,149.5267693,1
102.6247316,60.64710838,109.6702514,1
99.83890154,58.2343991,146.9960744,1
80.30869284,60.15424746,111.7597486,0
79.96836481,56.58309482,107.2204313,0
74.86394158,65.5433721,124.4430067,0
78.70405768,67.11632461,130.7386562,0
72.67410936,59.33304839,133.6762519,0
89.2881118,53.0675529,105.5735637,0
70.43953507,57.38078415,126.5181015,0
91.03733016,59.0800567,109.7166814,0
91.28078697,62.52769438,97.66616616,0
68.38795595,54.95993388,106.0689553,0
100.4981861,56.15418841,108.7364945,1
90.13609294,62.55338069,127.8239274,0
92.49698021,64.69454416,137.2832049,0
77.41334798,56.89202977,97.90190055,0
91.22379118,53.33391473,125.2794161,0
96.2639345,76.42059101,102.3495272,1
84.01391601,63.91652119,129.4362811,0
105.0192246,58.66498119,110.6590413,1
85.44064635,64.34515638,104.2300647,0
96.407858,59.37771685,131.9949677,0
87.93008807,64.33578445,111.1961609,0
90.85521533,60.79696599,115.2605407,0
68.28667732,60.45635949,86.70016369,0
88.71053738,59.43209066,134.1982704,0
77.65024899,52.76309333,132.3136278,0
76.53601694,69.6904745,120.0818677,0
102.4410318,55.2923304,97.08628588,1
82.86229752,53.19988212,138.1405377,0
74.96698169,58.93570059,110.0060492,0
81.40868372,55.19264093,113.1996982,0
71.99549771,59.74143605,154.6806608,1
99.33884468,63.43881924,109.4454533,0
78.04319256,64.9765145,131.1331494,0
90.29299934,64.07365361,128.4313839,0
98.56106714,58.47183973,125.8525829,0
79.99847319,60.24795914,124.2300081,0
90.32022432,62.03939525,125.6458284,0
74.69913945,51.21106288,124.0791089,0
109.4576957,62.8529235,119.2212246,1
94.36380135,52.71350356,142.6692469,1
83.07393561,70.20173299,100.3100916,1
77.27166269,57.97742458,135.3218716,0
83.86003447,59.07562411,132.3351345,0
81.60016278,56.1514645,130.4759868,0
104.5294455,56.85014984,136.7546914,1
72.74465278,71.37046785,118.6110091,1
86.34801423,64.70184844,91.96538886,0
84.81661933,52.25398777,118.9156101,0
83.825897,67.5210645,105.1320867,0
83.91383345,65.96621138,109.0221119,0
83.8392919,58.59393769,101.3637049,0
93.73066066,61.53348471,112.8398271,0
91.08984446,59.9252796,111.0506446,0
89.18911611,69.86289952,84.33645255,0
54.66010638,56.01854906,130.5033287,0
87.99794874,60.73005305,153.3048279,1
68.4436064,57.85927335,129.0935579,0
91.46320163,52.83479798,116.9561407,0
99.74497368,70.95819128,119.1788041,1
75.73760887,54.0921671,113.685212,0
82.38219278,61.10064594,121.3506238,0
79.00644295,51.29649697,119.4448786,0
97.35431776,58.0046473,107.3842735,0
85.95027885,62.10984411,145.2433258,1
102.2832938,55.8763301,97.69268646,1
89.13754203,62.93400925,130.7749731,0
87.42450181,58.65479454,118.4820356,0
85.68206783,65.80041256,148.5124772,1
93.17992099,66.80880457,125.112969,0
67.62313802,57.0662762,114.6014169,0
85.85343956,60.3836643,116.284392,0
